date,data
2004-01-01,15
2004-02-01,15
2004-03-01,15
2004-04-01,15
2004-05-01,15
2004-06-01,15
2004-07-01,15
2004-08-01,15.08333333
2004-09-01,15.16666667
2004-10-01,15.25
2004-11-01,15.33333333
2004-12-01,15.41666667
2005-01-01,15.5
2005-02-01,15.58333333
2005-03-01,15.66666667
2005-04-01,15.75
2005-05-01,15.83333333
2005-06-01,15.91666667
2005-07-01,16
2005-08-01,16.08333333
2005-09-01,16.16666667
2005-10-01,16.25
2005-11-01,16.33333333
2005-12-01,16.41666667
2006-01-01,16.5
2006-02-01,16.58333333
2006-03-01,16.66666667
2006-04-01,16.75
2006-05-01,16.83333333
2006-06-01,16.91666667
2006-07-01,17
2006-08-01,17.25
2006-09-01,17.5
2006-10-01,17.75
2006-11-01,18
2006-12-01,18.25
2007-01-01,18.5
2007-02-01,18.75
2007-03-01,19
2007-04-01,19.25
2007-05-01,19.5
2007-06-01,19.75
2007-07-01,20
2007-08-01,20.25
2007-09-01,20.5
2007-10-01,20.75
2007-11-01,21
2007-12-01,21.25
2008-01-01,21.5
2008-02-01,21.75
2008-03-01,22
2008-04-01,22.25
2008-05-01,22.5
2008-06-01,22.75
2008-07-01,23
2008-08-01,23.16666667
2008-09-01,23.33333333
2008-10-01,23.5
2008-11-01,23.66666667
2008-12-01,23.83333333
2009-01-01,24
2009-02-01,24.16666667
2009-03-01,24.33333333
2009-04-01,24.5
2009-05-01,24.66666667
2009-06-01,24.83333333
2009-07-01,25
2009-08-01,25.25
2009-09-01,25.5
2009-10-01,25.75
2009-11-01,26
2009-12-01,26.25
2010-01-01,26.5
2010-02-01,26.75
2010-03-01,27
2010-04-01,27.25
2010-05-01,27.5
2010-06-01,27.75
2010-07-01,28
2010-08-01,28.25
2010-09-01,28.5
2010-10-01,28.75
2010-11-01,29
2010-12-01,29.25
2011-01-01,29.5
2011-02-01,29.75
2011-03-01,30
2011-04-01,30.25
2011-05-01,30.5
2011-06-01,30.75
2011-07-01,31
2011-08-01,31.16666667
2011-09-01,31.33333333
2011-10-01,31.5
2011-11-01,31.66666667
2011-12-01,31.83333333
2012-01-01,32
2012-02-01,32.16666667
2012-03-01,32.33333333
2012-04-01,32.5
2012-05-01,32.66666667
2012-06-01,32.83333333
2012-07-01,33
2012-08-01,33.16666667
2012-09-01,33.33333333
2012-10-01,33.5
2012-11-01,33.66666667
2012-12-01,33.83333333
2013-01-01,34
2013-02-01,34.16666667
2013-03-01,34.33333333
2013-04-01,34.5
2013-05-01,34.66666667
2013-06-01,34.83333333
2013-07-01,35
2013-08-01,35.16666667
2013-09-01,35.33333333
2013-10-01,35.5
2013-11-01,35.66666667
2013-12-01,35.83333333
2014-01-01,36
2014-02-01,36.16666667
2014-03-01,36.33333333
2014-04-01,36.5
2014-05-01,36.66666667
2014-06-01,36.83333333
2014-07-01,37
2014-08-01,37.25
2014-09-01,37.5
2014-10-01,37.75
2014-11-01,38
2014-12-01,38.25
2015-01-01,38.5
2015-02-01,38.75
2015-03-01,39
2015-04-01,39.25
2015-05-01,39.5
2015-06-01,39.75
2015-07-01,40
2015-08-01,40.25
2015-09-01,40.5
2015-10-01,40.75
2015-11-01,41
2015-12-01,41.25
2016-01-01,41.5
2016-02-01,41.75
2016-03-01,42
2016-04-01,42.25
2016-05-01,42.5
2016-06-01,42.75
2016-07-01,43
2016-08-01,43.16666667
2016-09-01,43.33333333
2016-10-01,43.5
2016-11-01,43.66666667
2016-12-01,43.83333333
2017-01-01,44
2017-02-01,44.16666667
2017-03-01,44.33333333
2017-04-01,44.5
2017-05-01,44.66666667
2017-06-01,44.83333333
2017-07-01,45
2017-08-01,45.33333333
2017-09-01,45.66666667
2017-10-01,46
2017-11-01,46.33333333
2017-12-01,46.66666667
2018-01-01,47
2018-02-01,47.33333333
2018-03-01,47.66666667
2018-04-01,48
2018-05-01,48.33333333
2018-06-01,48.66666667
2018-07-01,49
2018-08-01,49.33333333
2018-09-01,49.66666667
2018-10-01,50
2018-11-01,50.33333333
2018-12-01,50.66666667
2019-01-01,51
2019-02-01,51.33333333
2019-03-01,51.66666667
2019-04-01,52
2019-05-01,52.33333333
2019-06-01,52.66666667
2019-07-01,53
2019-08-01,53.5
2019-09-01,54
2019-10-01,54.5
2019-11-01,55
2019-12-01,55.5
2020-01-01,56
2020-02-01,56.5
2020-03-01,57
2020-04-01,57.5
2020-05-01,58
2020-06-01,58.5
2020-07-01,59
2020-08-01,59.25
2020-09-01,59.5
2020-10-01,59.75
2020-11-01,60
2020-12-01,60.25
2021-01-01,60.5
2021-02-01,60.75
2021-03-01,61
2021-04-01,61.25
2021-05-01,61.5
2021-06-01,61.75
2021-07-01,62
2021-08-01,62.16666667
2021-09-01,62.33333333
2021-10-01,62.5
2021-11-01,62.66666667
2021-12-01,62.83333333
2022-01-01,63
2022-02-01,63.16666667
2022-03-01,63.33333333
2022-04-01,63.5
2022-05-01,63.66666667
2022-06-01,63.83333333
2022-07-01,64
2022-08-01,64.08333333
2022-09-01,64.16666667
2022-10-01,64.25
2022-11-01,64.33333333
2022-12-01,64.41666667
2023-01-01,64.5
2023-02-01,64.58333333
2023-03-01,64.66666667
