date,data
2004-01-01,1858.6
2004-02-01,1848.7
2004-03-01,1840.2
2004-04-01,1777
2004-05-01,1707.1
2004-06-01,1690.1
2004-07-01,1675.2
2004-08-01,1671.4
2004-09-01,1664.8
2004-10-01,1657.6
2004-11-01,1642.8
2004-12-01,1631.4
2005-01-01,1529.2
2005-02-01,1487
2005-03-01,1445.6
2005-04-01,1416.9
2005-05-01,1366.8
2005-06-01,1352.3
2005-07-01,1340.3
2005-08-01,1282.7
2005-09-01,1264
2005-10-01,1251.1
2005-11-01,1181.1
2005-12-01,1111.5
2006-01-01,1077.9
2006-02-01,1034.7
2006-03-01,991.2
2006-04-01,939.4
2006-05-01,930.1
2006-06-01,931.6
2006-07-01,882.7
2006-08-01,839.5
2006-09-01,846.4
2006-10-01,833.6
2006-11-01,802.5
2006-12-01,779.1
2007-01-01,757.1
2007-02-01,740.6
2007-03-01,734.2
2007-04-01,719.2
2007-05-01,720.5
2007-06-01,709.8
2007-07-01,697.3
2007-08-01,671
2007-09-01,652.3
2007-10-01,638.5
2007-11-01,615
2007-12-01,613.3
2008-01-01,569.7
2008-02-01,553.4
2008-03-01,530.4
2008-04-01,500.7
2008-05-01,503
2008-06-01,506.1
2008-07-01,497.4
2008-08-01,497.4
2008-09-01,479.8
2008-10-01,482.4
2008-11-01,467.2
2008-12-01,450.1
2009-01-01,445.3
2009-02-01,440.7
2009-03-01,428.3
2009-04-01,406.4
2009-05-01,405.3
2009-06-01,380.7
2009-07-01,380.7
2009-08-01,380.3
2009-09-01,379.7
2009-10-01,376.8
2009-11-01,369
2009-12-01,362.5
2010-01-01,362.1
2010-02-01,366.4
2010-03-01,345.5
2010-04-01,339.8
2010-05-01,338.5
2010-06-01,315.2
2010-07-01,316.6
2010-08-01,321.4
2010-09-01,320.7
2010-10-01,310
2010-11-01,313.7
2010-12-01,307.4
2011-01-01,306.2
2011-02-01,299.4
2011-03-01,282.3
2011-04-01,282.5
2011-05-01,280.9
2011-06-01,274
2011-07-01,277.1
2011-08-01,268.1
2011-09-01,267.9
2011-10-01,266.8
2011-11-01,268.2
2011-12-01,265.3
2012-01-01,265.4
2012-02-01,265.3
2012-03-01,252.5
2012-04-01,253.4
2012-05-01,250.6
2012-06-01,240.8
2012-07-01,239
2012-08-01,231.1
2012-09-01,216.9
2012-10-01,222.3
2012-11-01,222.7
2012-12-01,216.5
2013-01-01,215.4
2013-02-01,210.1
2013-03-01,208
2013-04-01,205.6
2013-05-01,202.1
2013-06-01,197.6
2013-07-01,199.7
2013-08-01,198.8
2013-09-01,203.3
2013-10-01,195.8
2013-11-01,191.3
2013-12-01,191.7
2014-01-01,189.3
2014-02-01,185.7
2014-03-01,180
2014-04-01,181.3
2014-05-01,181.2
2014-06-01,179
2014-07-01,176.6
2014-08-01,170.7
2014-09-01,172.5
2014-10-01,171.5
2014-11-01,167.2
2014-12-01,163.9
2015-01-01,164.3
2015-02-01,166
2015-03-01,162.1
2015-04-01,157.8
2015-05-01,155.6
2015-06-01,154.6
2015-07-01,158.6
2015-08-01,159.4
2015-09-01,159.9
2015-10-01,156.1
2015-11-01,156.6
2015-12-01,152.2
2016-01-01,153.4
2016-02-01,149.5
2016-03-01,147.2
2016-04-01,146.4
2016-05-01,146.3
2016-06-01,146.2
2016-07-01,143.2
2016-08-01,141.4
2016-09-01,141.3
2016-10-01,135.2
2016-11-01,142.3
2016-12-01,144.5
2017-01-01,145.5
2017-02-01,142.5
2017-03-01,141.3
2017-04-01,140.7
2017-05-01,140.4
2017-06-01,140.4
2017-07-01,137.5
2017-08-01,133.5
2017-09-01,137
2017-10-01,134.4
2017-11-01,133.6
2017-12-01,134.6
2018-01-01,134.8
2018-02-01,133.7
2018-03-01,133.3
2018-04-01,131.6
2018-05-01,132.4
2018-06-01,128.8
2018-07-01,128
2018-08-01,129.3
2018-09-01,130.1
2018-10-01,129.7
2018-11-01,129
2018-12-01,130.4
2019-01-01,131
2019-02-01,129
2019-03-01,127.9
2019-04-01,127.9
2019-05-01,128.1
2019-06-01,127.9
2019-07-01,121
2019-08-01,119.8
2019-09-01,120.6
2019-10-01,119.1
2019-11-01,118.1
2019-12-01,116.2
2020-01-01,115.6
2020-02-01,115.2
2020-03-01,115.1
2020-04-01,116.3
2020-05-01,110.1
2020-06-01,109.3
2020-07-01,109.6
2020-08-01,108.7
2020-09-01,110.1
2020-10-01,107.8
2020-11-01,106.9
2020-12-01,104.6
2021-01-01,104.8
2021-02-01,106
2021-03-01,105.5
2021-04-01,107.2
2021-05-01,106.9
2021-06-01,106.4
2021-07-01,105.005
2021-08-01,106.704
2021-09-01,103.702
2021-10-01,103.435
2021-11-01,103.485
2021-12-01,102.045
2022-01-01,102.243
2022-02-01,104.035
2022-03-01,101.336
2022-04-01,102.928
2022-05-01,101.29
2022-06-01,100.377
2022-07-01,98.131
2022-08-01,99.916
2022-09-01,99.896
2022-10-01,98.587
2022-11-01,97.639
2022-12-01,99.567
2023-01-01,99.217
2023-02-01,100
2023-03-01,98.245
2023-04-01,98.584
2023-05-01,97.341
2023-06-01,97.087
2023-07-01,97.156
2023-08-01,96.956
2023-09-01,97.058
2023-10-01,97.044
2023-11-01,97.153
2023-12-01,97.179
2024-01-01,97.049
2024-02-01,97
2024-03-01,95.899
2024-04-01,95.905
2024-05-01,95.486
2024-06-01,95.658
2024-07-01,95.525
2024-08-01,95.293
2024-09-01,95.331
2024-10-01,95.373
2024-11-01,95.375
2024-12-01,95.802
2025-01-01,95.811
2025-02-01,95.923
2025-03-01,96.051
2025-04-01,96.585
2025-05-01,97.207
2025-06-01,97.178
2025-07-01,96.842
2025-08-01,96.842
